Merk Mobil,Nama Mobil,Tahun Produksi,Harga Mobil (USD),Berat Mobil (Kg),Kapasitas Mesin (Cc),Output Horsepower (Hp),Output Torsi (Nm)
Toyota,Camry,2019,25000,1500,2500,200,250
Honda,CR-V,2018,28000,1600,2200,180,220
Ford,Fusion,2020,23000,1400,2000,170,200
Nissan,Altima,2017,20000,1450,2100,190,210
Chevrolet,Impala,2016,22000,1600,2300,210,230
BMW,3 Series,2021,35000,1700,2800,300,320
Hyundai,Sonata,2015,18000,1350,1900,160,180
Kia,Sorento,2019,27000,1800,2400,220,240
Subaru,Outback,2022,32000,1550,2600,280,300
Mercedes,C-Class,2017,30000,1650,2700,250,270
Lexus,ES,2018,32000,1550,2500,260,280
Audi,A4,2020,35000,1600,2600,280,290
Mazda,Mazda6,2016,20000,1380,2200,190,200
Volkswagen,Passat,2021,28000,1450,2300,220,240
Volvo,S60,2019,30000,1520,2400,250,260
Tesla,Model S,2022,80000,2000,3800,600,700
Ford,Explorer,2018,35000,1800,2700,290,310
Chevrolet,Equinox,2017,25000,1500,2000,170,190
Toyota,Highlander,2020,32000,1750,3000,270,290
Honda,Pilot,2019,30000,1700,2800,250,270
Acura,MDX,2018,34000,1850,2900,280,300
Jeep,Grand Cherokee,2017,32000,1700,2500,240,260
Mitsubishi,Outlander,2021,28000,1600,2200,200,220
Land Rover,Range Rover,2019,90000,2300,4000,450,500
Chevrolet,Traverse,2016,26000,1750,2800,260,280
GMC,Yukon,2020,55000,2200,3500,400,450
Ford,Expedition,2018,48000,2000,3300,375,400
Dodge,Durango,2022,42000,1850,3000,350,370
Toyota,Rav4,2017,24000,1500,2200,180,210
Nissan,Rogue,2019,26000,1600,2300,200,220
Hyundai,Tucson,2020,23000,1450,2000,170,190
Honda,HR-V,2018,22000,1400,1800,160,180
Mazda,CX-5,2021,28000,1550,2500,220,240
Ford,Escape,2016,20000,1350,1900,190,200
Chevrolet,Blazer,2017,25000,1600,2200,210,230
Volkswagen,Tiguan,2019,27000,1650,2400,220,240
Volvo,XC60,2020,32000,1750,2600,250,260
Audi,Q5,2018,30000,1600,2500,260,280
Tesla,Model Y,2022,60000,1900,3400,500,550
Subaru,Forester,2016,22000,1450,2000,170,190
Mercedes,GLC,2021,38000,1700,2800,300,320
Lexus,NX,2019,35000,1600,2600,250,270
Kia,Sportage,2017,23000,1500,2200,180,200
BMW,X3,2018,33000,1750,2700,250,270
Land Rover,Discovery,2020,45000,2000,3500,350,380
Jaguar,F-PACE,2016,40000,1850,3000,340,360
GMC,Acadia,2019,32000,1700,2500,230,250
Ford,Ranger,2018,28000,1600,2200,200,220
Chevrolet,Colorado,2020,30000,1500,2500,220,240
Toyota,Tacoma,2017,26000,1450,2300,190,210
Nissan,Frontier,2022,28000,1600,2500,220,240
Honda,Ridgeline,2019,32000,1750,3000,280,300
Ram,1500,2018,35000,1850,3200,290,310
Ford,F-150,2020,40000,2000,3500,325,350
Chevrolet,Silverado,2017,38000,1900,3300,300,320
Toyota,C-HR,2021,25000,1450,1800,160,180
Hyundai,Kona,2018,22000,1300,1600,140,160
Kia,Niro,2020,26000,1500,1900,180,200
Honda,Insight,2019,23000,1400,1800,150,170
Nissan,Leaf,2017,24000,1600,1400,150,160
Chevrolet,Bolt,2022,30000,1400,1600,200,220
BMW,i3,2016,28000,1200,1300,170,180
Volkswagen,ID.4,2021,35000,1700,2200,201,229
Tesla,Model 3,2019,45000,1800,2500,283,307
Ford,Mustang Mach-E,2020,55000,2000,2800,346,428
Audi,e-Tron,2018,60000,2400,3700,355,414
Jaguar,I-PACE,2021,65000,2100,3200,394,512
Porsche,Taycan,2019,80000,2300,3400,402,472
Mercedes, EQC,2020,70000,2200,2800,402,760
Rivian,R1T,2022,75000,2600,3800,700,825
Lucid,Air,2021,85000,2400,3300,620,653
Lexus,RX,2020,45000,1900,3000,290,315
Infiniti,QX60,2018,35000,1750,2700,295,330
Buick,Enclave,2019,38000,1850,3200,310,355
Mazda,CX-9,2017,30000,1600,2500,250,310
Audi,Q7,2021,55000,2000,3000,335,369
Volkswagen,Atlas,2020,32000,1800,2600,276,266
Volvo,XC90,2018,60000,2200,3200,316,295
Tesla,Model X,2017,90000,2300,3700,518,660
Chevrolet,Tahoe,2022,65000,2500,5300,355,383
GMC,Suburban,2019,70000,2600,5400,360,516
Ford,Edge,2018,32000,1700,2300,250,275
Hyundai,Palisade,2021,40000,2000,3300,291,262
Kia,Telluride,2020,38000,1950,3200,291,262
BMW,X5,2019,58000,2200,3000,335,330
Land Rover,Defender,2021,50000,2200,2400,296,400
Mitsubishi,Pajero,2018,45000,2400,3200,290,324
Nissan,Armada,2020,55000,2600,5600,400,560
Toyota,Land Cruiser,2019,85000,2800,4700,381,401
Jeep,Wrangler,2021,30000,1800,3600,285,352
Ford,Bronco,2022,35000,2000,3300,310,400
Chevrolet,Trailblazer,2018,25000,1500,1800,170,203
Kia,Soul,2020,20000,1300,1600,147,132
Subaru,Crosstrek,2019,23000,1400,2000,152,145
Mazda,CX-3,2017,21000,1200,1500,148,146
Hyundai,Kona,2021,25000,1350,1800,175,195
Ford,EcoSport,2018,19000,1200,1500,123,149
Chevrolet,Trax,2020,22000,1250,1400,138,148
Honda,HR-V,2019,24000,1350,1800,141,127
Toyota,C-HR,2018,23000,1300,1600,144,132
Nissan,Kicks,2021,21000,1250,1500,122,155
Jeep,Compass,2017,26000,1500,2400,180,175
Subaru,Impreza,2018,22000,1250,1600,152,145
Mazda,3,2019,24000,1300,1800,186,186
Honda,Civic,2021,25000,1400,2000,180,177
Toyota,Corolla,2018,22000,1300,1600,132,128
Chevrolet,Malibu,2019,26000,1400,2000,160,185
Ford,Fiesta,2017,18000,1100,1300,120,112
Hyundai,Accent,2020,19000,1200,1500,120,132
Nissan,Versa,2018,20000,1150,1500,122,114
Honda,Fit,2021,21000,1100,1300,130,114
Toyota,Prius,2019,25000,1300,1800,121,120
Chevrolet,Sonic,2018,19000,1150,1400,138,148
Mazda,2,2020,20000,1100,1300,115,113
Volkswagen,Golf,2017,22000,1200,1600,170,184
Ford,Fusion,2018,24000,1350,2000,181,185
Hyundai,Sonata,2019,26000,1450,2200,178,198
Nissan,Altima,2020,25000,1400,2000,188,180
Honda,Accord,2018,28000,1550,2400,192,192
Toyota,Camry,2021,30000,1600,2500,206,250